word,meaning
eré ziimọaraụ,midwife
ayá ere,newly-married woman
osi ingólèi ere,woman past the menopause
eréamịnị,women
eréaraụ¹,woman
Eréaraụ²,Mrs
eréin,day
eréin gbalagbala,broad daylight
eréin sẹ̀,all the day
eréin sẹ̀,all day long
eréin tẹịn,be afternoon
eréin,weather
eréin èbi,í be good
eréin sèí,be bad
eréinbaị,the big day
eréinbiri,midday
eréin-erein-gbẹ̀,daily wages
eréin-èréin-gbẹ,daily wages
eréintịbị,"midday, noon"
eréintọrụ,weather
Erélagha,sacred place or “bush” where women are forbidden to enter
eré-ofonibụọ,herb which drives away the spirits of the dead
eré-ogbodo,ginger lily with smooth leaf- sheath
Erésụọgha,sacred place or “bush” which women are forbidden to enter
erétala,tála which has ịkábụkabụ̀
eré-ụngbọ,nut
eréwèrí¹,female shrimp
Eréwèrí²,female personal name
Eréwèrí³,a compound at Kaịama
eréwọ̀ụ́,girls
erií,portion
eseé,trouble
eseé,plight
eseé,predicament
ese dọụ́,look for trouble
eteé,ring
eteé,circle
ete tụá,make a circle
ọmụ́ụ ete,circle around the sun observed by day
eteé,environment
eteé,ete tolumọ́bàra environmental education
etélè¹,fish
etélè¹,OR general name for all snouted fish check if this is correct)
etélè²,open space
etélekpùké,light-hearted person
etélekpùké,one who forgets too easily
etereté,complete circle
etií¹,heart
etií¹,mind
etií¹,eti poú be patient
etií¹,exercise patience
etií¹,chest
etií²,trap for rats and “grasscutters” prepared with sticks and mud
etií²,eti pịtẹ́ set such a trap
etií³,used in
evíla,"first part of distilled gin, not tasting good, and rejected"
ewéri,"fish, the grass-eater"
ewéri,túo pẹlẹ eweri
ewéri,brevipinnis
ezeé,drum
ezeé,music
eze bịbị tụ́à,send message by drumming
ezeé,talk with drum
eze farí,̣beat drum
eze farịówèi,drummer
andá eze,wrestling music
opu ezé,talking drum
óu eze,drum for masquerade
ezeé,ọmụ́ụ eze war music
ezegbasá,drum-stick
ezéle,open
ezéle,public
kubu ghọ paamọ,bring to the public
ezigé¹,aigrette
ezigé¹,"plume of feathers from certain birds, such as egret"
ezigé²,smallest and most flexible mat made from pínì and woven with raffia Ẹ
ẹbẹdẹ́,new foliage
ẹbẹdẹ́,immature leaves
ẹbẹdẹ tụá,develop new leaves
ẹbẹdẹ́,show visible improvement in life
ẹberẹbẹrẹ́,inhibition
ẹberẹbẹrẹ́,feeling of being inhibited from doing or saying something
ẹdẹẹ́,yam-barn
asụ́ma ẹdẹ,yam-barn like the blacksmith’s house
Nzọ́n ẹdẹ Nzọn-,type yam-barn
ẹdẹ́ẹrẹ,favour
ẹdụ́,genet
ẹdụ́,‘fox’
ẹdụlẹ-imémèin,false thistle
ẹdụlẹ-ịlá,red berries of eré abelebei
ẹfẹ́n²,ringworm
ẹfẹ́n tụ̀a,have ringworm
bụ́ọ ẹfẹn,tinea pedis ̣
ẹfẹ́n²,ọngọ́ ẹfẹn tinea corporis
ẹfẹ́rẹị¹,husk of palmnut
ẹfẹ́rụ¹,wind
ẹfẹ́rụ²,"cockroach, especially the type that destroys clothes and fish kept in boxes"
ẹgbẹẹ́n,rust
ẹgbẹn koró,get/be rusty
ẹgbẹnẹ́,"fruit, including seed, of wild mango , gathered from the bush"
ẹgbẹnẹ́,seed inside the fruit
ẹgbẹnẹ paaráị,cotyledon of wild mango
ẹgbẹnẹ fụlọ́ụ ẹgbẹnẹ,soup
ẹgbẹnẹ taán,gather ẹgbẹnẹ
Ẹgẹnẹ,Engenni
ẹgẹnẹ́,"a formal traditional dance for women, accompanied by drumming by the men, also known as kíri sẹì"
̣ ẹgẹnẹ ezé,drumming for ẹgẹnẹ dance
ẹgẹnẹ gbeín/sẹí ̣,dance ẹgẹnẹ́
ẹgẹnẹ kíṛì ḳ ịrì ̣modern,"form of ẹgẹnẹ́ , now obsolete"
ẹgẹ́rẹ,"long plank used as a musical instrument, played by a number of men during a masquerade and óru sẹị"
ẹgẹ́rẹ farị,play on ẹgẹ́rẹ
ẹkẹ́bụkẹbụ̀,soft place below breast bone
ẹkẹ́bụkẹbụ̀,substernum angle
ẹkẹẹ́n¹,market-day
Ẹkẹẹ́n-ère,female personal name
ẹkẹkẹ́²,round earthenware vessel used for grinding snuff or preparing or warming soup
ẹkẹn-óvùru,"four-day week, i.e. from one market-day to the next. The four days are"
ẹkẹ́tẹ,chronic big ulcer
ẹkẹ́tẹ tụa,have ulcer
ẹkẹ́ụ,"long, flat fish with large scales . It is branded a ‘slave fish’ and nicknamed Ogbolokụ́rọ̀, which title is borne by many men"
ẹkẹ́ụ,okotoba juvenile ẹkẹ́ụ
ẹkpẹ́ẹrẹ,"floater for díi, drag-net"
ẹkpẹ́ẹrẹ,small tree from which they are
ẹkpẹ́kụ̀,cocoyam variety
ẹkpẹ́kụ̀ tịbị,corm of ẹkpẹ́kụ̀
Ẹkpẹ́n,town on the Ashaka river in Aboh
Ẹkpẹ́n,town in Lagos State
ẹkpẹ́n-tun,bowler hat
ẹkpẹ́tẹ¹,general name for various musical instruments which are not drums
bára ẹ̀kpẹtẹ,accordion
bíḅ ị ẹkpẹtẹ,mouth- organ
ẹkpẹ́tẹ¹,bụ́ọ ẹkpẹtẹ organ
ẹkpẹ́tẹ¹,piano
ịsíạn ẹkpẹtẹ,harp type
ịndálì ẹ̣ kpẹtẹ,instrument with single string and resonating box
ẹkpẹ́tẹ²,bird-cage made with pínì and bụmọụ́n
ẹkpẹ́ụnkụ̀,short and hard-wooded tree
ẹkpẹ́ụnkụ̀,a tough and hard fighter
ẹlẹẹlẹẹ́,slime
ẹlẹẹlẹẹ́ kọ̀rí ̣,stick to
óru ẹlẹlẹ,"spirogyra, widely-distributed freshwater green alga"
ẹlẹmẹ́¹,anchor
ẹlẹmẹ koromọ́,put down anchor
ẹlẹmẹ́¹,saradei ẹ́lẹ̀mẹama sinker for line of hooks
ẹndẹẹ́²,"sickness affecting small child during the next pregnancy of his/her mother, also sometimes affecting the husband"
ẹndẹẹ́²,ẹndẹ dirí medicine to cure children and husbands suffering from ẹndẹẹ́
ẹndẹẹ́²,ẹndẹẹ́ kọ̀rí ̣affect
ẹngẹ́,"Ethiopian pepper, used as a spice"
ẹngẹ́,Rich. ANNONACEAE)
ẹpẹ́mụ̀,butterfish or glass catfish
ẹpụsụ́,fragments
ẹpụsụ́,bits
ẹpụsụ́,crumbs
ẹrẹdeiyé,pronoun
ẹrẹdeiyé,ẹrẹ bịbí g̣ bàlịí ̣wander in one’s speech
ẹrẹ teí,converse
dii ní ẹ̀rẹẹ́,rebuke
dii ní ẹ̀rẹẹ́,reprove
dii ní ẹ̀rẹẹ́,blame
dii ní ẹ̀rẹẹ́,scold
dii ní ẹ̀rẹẹ́,consider carefully
ẹrẹ́n,"sasswood tree, used for canoe carving"
ẹrẹ-owéi,spokesman
Ẹrẹ́paamọ̀,personal name
ẹrẹụ́n,"stalk of bunch of palm fruit,"
ẹtẹbụrụ́,"middle, midst"
ẹtẹẹlẹẹ́,"round earthenware bowl used as cover for pot, or as container for medicine, or used inverted as a base for producing thread from fibre, e.g. from urúrufa or edé"
díri ẹtẹẹlẹ,a bowl used for medicine
ẹtẹ́nẹ̀,"bird, guinea-fowl"
famụ-ịzágbà,any material used for corporal punishment or caning
famụ-ịzágbà,punishment
famụ-ịzágbà,fine
Famụ-ịzágbà nị ụ pịrí ̣Give,him a punishment/fine
famụyeé,thunder
fánụ²,fence
fánụ tụa,make fence
fánụkutu,cube
fánụkutu mita,cubic metre
fánụkutu sẹntimita,cubic
Fánụkan,a “masquerade” that cannot be
fárii,whetstone
igbegi faríi,file
fárịye,"any musical instrument, typically a"
fienmọọ́,large wrapper
fíepịrị-ere,prostitute
fíepịrị-ere,harlot
fíepịrị-ere,tart
fíkifìki,suppressed sobbing
Fịama,Land of the Dead
fịnịbọlọ́ụ,flame of fire
fịnị-ilé,stack of firewood
fị-ogbúgbà,fear of death through consequences of one’s action
fị-ụwọ́ụ,path of death
fóru,hamlet
fóru,"a settlement which is not necessarily permanent, and is still linked to the parent settlement"
fọrọ́kọ̀,singlet
fọ́ụ,market
fọ́ụ tubo/yọụ,trade
gbún fọụ,windfall gains
fọ́ụ,excessive gain such as in trade which the person scarcely reveals to others
fọ́ụbaị,market-day
Fọ́ụbaị,personal name
fọ́ụbiridie,tree
Fọ́ụ-ere,female personal name
fọ́ụ-erein,market-day
fọ́ụ̀n-bàlị,keg of gunpowder
fọ́ụn-bụrọ̀,ashes
fọ́ụnbụrọụteri,tree used for carving canoes
fọ́ụtiri,market-place
fọ́ụyọụbaị,day before market day
Fọ́ụyọụbaị,personal name
fún¹,leaf
fún¹,fún beri leaf
fún¹,"book, paper"
fún pou,"roll, ream, of paper"
fún²,cataract
fún-gẹẹgbasa,pencil
fún-gẹẹgbasa,pen
fún-gẹẹgbasa,penholder
fún-gẹẹ-owei,"secretary, author"
fúntolumọwarị,school
fúntolumọwarị,college
fúntolumọwarị,university
fúntụ̀a,‘21’
fún-yẹrị-warị,bookshop
fúròú,belly
fúròú,stomach
fúròú bein,"be filled, satisfied"
fúròú ịgba,intestines
fúròú,guts
fúròú,kubu tattoo belly
fúroú tọ̀bọụ,freeborn of a town
fúròú,an indigene
fúròú tuu,lower abdomen
fúròú opu furóu,stomach of animal
fúròú,pregnancy
fúròú koro,miscarry
fúròú kue,abort during first few months
fúròú mịẹ kóromọ,cause abortion
zii furóu,one’s child
fúru²,theft
fúru bara,furtively
fúru²,stealthily
tọ́rụ kụ̀rọ furú,highway robber
fúru²,armed robbery
fúrukịmị,thief
fúrukputu,skin disease caused by irritation or insect bites
fúru-ogbo,gang of thieves
fụ́lọụ,“soup”
fụ́lọụ,"the combination of liquid, spice and other ingredients, with fish/meat, which is eaten with vegetable food"
fụ́lọụbeni,liquid part of soup
fụ́rụ,smell
fụ́rụ,odour
fụ́rụ-ịpaịn,shrub whose leaves are used to treat wounds Müll. Arg. EUPHORBIACEAE)
fụụ́¹,handle into which blade is fitted
fụụ́¹,helve
asụ́baị fụụ,handle of hoe
ogou fụụ́,handle of axe
fụ́ụ²,salt
beke fụ́ụ̀,table salt
kúmoni fụụ,"salt used in former times, made in salt-water area"
kụrọ fụụ́,very hard salt made in balls
fụụ³,"the hot, pungent condiment produced by alligator pepper when its grains are chewed"
fụ́ụbeni,salt water
fụ́ụbeni,brine
gbálị-owei,adopted father
gbanayọọ́,addition
gbanayọọ́,something added
gbee²,outmoded fashion
gbéliotu,supporters
gbeneín²,"small pieces of wood put across the bottom of the inside of a canoe before bábala or mat is spread, on which loading is done"
gbẹ́gbẹsụụ,extreme end
gbẹ́gbẹsụụ,extremity
gbẹ́gbẹsụụ,farthest end
gbẹ́gbẹsụụ,the very last
gboón²,"temporary dam, esp. made of mud across a lake or stream"
gboón²,gboon tụá place an obstruction
gbóù,clam
gbóu¹,insect that resembles the cockroach in habits
gbọ́lụ̀¹,chisel
gbọ́lụ̀²,"stick for straightening woven lines on fish-traps, etc"
gbọ́lụ̀³,"biggest bullet, used for large animals"
Gbọ́rụaka,one of the Kólokùmá deities whose seat is at Kaiama
gbún-fọụ,windfall gains
gbún-fọụ,excessive gain which the person scarcely reveals to others
Gésiye,name of person
gẹẹbọọ́,author
gẹẹbọọ́,writer
gobịdẹ́,patchwork
gólù¹,gold
goofuún,reader
goofuún,reading-book
ibebesií,"frond of kọ́rọ after the raffia has been extracted and the midrib has also been removed, used in a game called odogoríyà"
ibereberé²,astonishment
ibérìa,love-potion/philtre
ibérìa gụọ,procure love-potion
ibetẹmẹsúò,"collective spirit of an ibeé, expressed in its formal praise-title"
ibezé,dolphin
ibídai,fool
ibídai,moron
ibídai,half-wit
Ibíyàị,former name of Polakụ
ibobó,"fresh oil mixed with water and kasá, which has to be purified by boiling"
ibómù,gong
ibórò,floating net
ibúbu,club in the game of cards
idúmu¹,family or compound circle
idúmu²,"empty palm-bunch left after extraction of nuts, also idúmu agbaì"
ofókolo,"game, usually played on the sandbank at night by boys, in which waste or used-up palm bunches are lit and thrown at opponents"
ifé²,foam
ifé²,bubbles
ifé²,ifé tẹịn line in a river along which debris and bubbles flow
ifé²,ebi ifé the small bubbles that rise during the process of boiling fresh oil
ifíàn,tobacco
ifíàn,snuff
akoto,snuff- box
ifíàn beri,leaf of tobacco
ifíàn bodi,case of tobacco
ifíàn,san grind snuff
ifíàn tịbị,head of tobacco
ifíàn sán,ifian snuff
ifíàn tụ́a,ifian snuff
ifidí,"low-lying part of bush which floods in wet season, full of shrubs, etc., which are difficult to clear"
ifidí,ifidi kpatá clear such land for farming for the first time
ifíè,time
ifíè,period
ifíè,season famọụn lose/waste time
ifíè,spend time
duo mú ni ìfie,from time to time
ifíè,pass time
ifíè ifíè,from time to time
ifíè,off and on
ifíè,seasonally
ifíè,occasionally
ifíèmọ sẹ,all the time
gboro ifíè,planting season
osuo ifíè,rainy season
sóu ifie,harvest season
ụráụ ifie,dry season
ifíèkịẹnye,clock
ifíèkịẹnye,watch ̣
ifirí,repayment
ifirí,compensation
ifirí,reparation
ifiri fịí ̣,receive compensation
ifoí,son-in-law
ifoí,father-in-law
ifolifoó,blossom
ifolifo tabá/tụá,flower
ifúgu,something thrown in a fight
ifúgu,"gbein play a rough game consisting of throwing ifúgu, usually by boys in the night"
igbébiripalị,"a tool used in joining or holding together pieces of plank, e.g. box"
igbedíkụ̀rọ,insect sp
igbedí-òsimi,small osími
igbegbé,velvet
igbegí,money ̣
igbegi-tụá-àkpa,purse
igbegifaríi,file
igbéma,bell
igbémagbele,ring bell
igbénghi,representative of old people during a dance for a deity
igbénghi ere,female representative
igbénghi owei,male representative
igbénghì,"tree with yellow flowers whose fruit is boiled and crushed to eat, mainly by children, and whose root is chewed for sweetness (Pterocarpus santalinoides L’Hér. ex DC LEGUMINOSAE"
igbígbini,a hardening or stiffening disease that affects the yam tuber
igbígbini,any yam so affected becomes stiffened and is not eaten smoothly
igbiná,"bead like ịbọ́lọ̀, but black in colour"
igbirá,prostitution
igbira wẹní,̣practise prostitution
igbira-wẹnị-érè,prostitute
Igbon,Hausa
Igbon,Northerner
igbon-ịkịraị,Indian bamboo
igbon-ịkịraị-tọ̀rụ,node of bamboo
igbon-odu,cocoyam type
igbon-otiti,"bird, the Pied Crow"
igbunú,medicine bundle believed to be used by rogues whose effect is to cause the inmates of the assailed house to be in deep slumber
igbúrù,man’s cloth large enough to be used as cover-cloth or toga
igérigede,something difficult to solve
igérigede,something obscure and disastrous
igíràn,enmity
igíràn,hatred
igíràn sụọ,hate bitterly
igirí,epilepsy
igirí,igiri koró suffer from epilepsy OR have an epileptic fit
igodó,padlock and key
igodogbasá,key
igodoyenghí,padlock
igoí²,reluctance to do work
igóinzoro,type of matchet
igoní,entertainment
igoní,hospitality
igoni bẹlẹ túu gbùlu,eat up the left-over food prepared for a big group of strangers
igoni dọụ́,look for something to entertain guests
igoni kọọ́n,entertain
igoni-amá,foreign land
igoniboú,burial-ground for strangers
igonibọọ́,foreigner
igonibọọ́,stranger
igonibọọ́,alien
igonibọọ́,guest
igorigoó,good public speaker
igorigoó,orator
igorigoó,eloquent speaker
ígue,a special group-call during the uzi ceremony
iké,knack
iké,strength ikeégù the smaller ọgbọọlọọ́
ikégi,cunning person
ikéìn,private parts
ikéìn,ikéìn sọwẹị
ikéìn,cover private parts with the palms or cloth
ikéìn,reach age of wearing clothes
ikéìn,privacy
ikéìn,any covering
ikéìn,sin be naked
ikéìn udeí,change into or out of working clothes
ikéìn-udeighá,"a performance of not more than three songs and steps when a dance- canoe has reached a town, before performers go to their quarters. The real dance is performed the following day"
ikén²,endurance
"Ikén kpọ fà timí, ẹrẹyemáàáà?","You have no endurance, and yet you are talking?"
íkèrérè,difficulty
Ikétè,Hausa
Ikétè,Northerner
ikia-aráụ,female friend
ikia-eré,woman married under the “small dowry” system
ikia-owéi,male friend
ikiatọbọ́ụ,child born under the “small dowry” system
ikirí,cane rat
ikirí,cutting-grass
ikirí,“grasscutter”
amatá ìkirika,older married woman
tíṇ ikirika,stump of tree
ikirikáà,"short , but with rougher edges than ingbiligbáà"
ikítibà,pipe
ikó¹,cloth dyed by the Yoruba
ikó²,anvil
ikóli¹,"leg of pot, usu. bẹ́lẹ-ikoli ikóli² see igóli handcuff"
ikólibagii,claw-hammer
ikólibagii,pincers
ikólò¹,tree
ikólò²,protective medicine for war
Ikólò,"town in Atịsa, of Kólokùmá origin, north of Ikibiri"
ikorikórì,a bird
ikóroghà,“medicine” for wrestlers which prevents them from being thrown . The owner will never have children until he falls down deliberately in a game and thereby spoils the “medicine”. It was highly regarded and very expensive in the olden days
ikpé²,lie
ikpé²,falsehood
ikpé fị,give or receive bribe
ikpé gba,tell lies
ikpé iseri tịẹ,bear false witness
ikpé²,commit perjury
ikpeígàra,a kind of yam
ikpékịmị,rumour-monger
ikpékịmị,person who tells news or stories without discretion
íkpèlélè,creeping herb cooked in soup to give blood
ikpí,an ọgbọ́lọ̀ loaded with mud and used in the game of ingbíri
ikpíiri,wheel
ikpíiri,wheel with tyre
ikpíri¹,plantain variety
ikpíri²,seed-pod used as leg-rattle
ikpútu¹,stone
ikpútu¹,rock
ikpútu²,large number of people massed together
ileé¹,stack; fịnị ilé stack of firewood
imbí²,button
imbí tụa,sew on a button
imbí³,goal
imbí³,point
imbíowei,single-pronged fish-spear
imbíowei gbein/ọbọrọ,fish with such a spear
imbíse³,"game played by women, involving clapping and moving the legs"
imbíse³,number of players starts from two and above used in
imémein,nail
imémein,claw
imémein,bára-ìmemein fingernail
imémein,bụ́ọ-imemein toenail
imémein,ofóni-
iménghi²,moan
ingbeé¹,club
ingbeé¹,truncheon
ingbeé¹,baton
ingbeé¹,a wooden
ingbeé²,horn
náma-ingbe,horn of animal
ingbeelé,soldier termite
ingbeelé,gorilla ant
Ingbélà,"the founder of Odi in Kólokùmá, whence it is called Ingbélà-ama"
ingbérè,"exorbitant gain, profit"
ingbérè tụa,profiteer
ingbéte,general term for the adult male shrimp
ingbéte,adult Macrobrachium felicinum
ingbílìlí,the mark made on the soft place below the breastbone with ashes by children when they want to end a game
ingbísi,leglet made of ivory
iminií,"an art of planting whereby yam mounds do not follow any definite line, usually on high ground where roots prevent the formation of ekúe. They can face anywhere"
imíyoun,"a loop made of grass or palm leaves, placed on objects or attached to trees, or pinned on a piece of land, swamp, lake or island to show ownership"
imíyoun,"It is used as a sacred symbol when invoking or swearing on a deity, which it symbolizes"
imíyoun,It is also used when making a war dance or wrestling dance or masquerade
imíyoun-gbunu-yei,"husband in name, i.e. when the husband only performs the initial ceremony and then assumes or takes over the role of a husband"
imosoú,inflorescence of oil-palm
indaá,gum
indébèfú,salt-water shrimp
indiámènisóù,blow-fly
indií,fish
indi baá,catch fish
bou-indí,fish found in lakes and fishponds
ẹbẹ́gụ indi,the largest of each of the species of fish in a catch in a lake or fish-pond. The collection of the number of the species shows ownership
tọ́rụ-indi,river fish
indóubarị,return match
indóubeni,breast-milk
indóubọlọụ,nipple
indóutekeleye,brassière
Inéikaàdé,a name
ineínèi¹,point of scoring in the game of tops when one of the players has taken two tops
ineínèi¹,"he shouts ‘My own, my own!’ to claim them"
inénghi³,buttock
inénghi-opoolo,anus
inénghipaaraị,one of the buttocks
inénghi-uke,inside of anus
inénghiwarị,buttocks
inénghiwala,paddle-steamer
ingélenge,xylophone
ingélenge,marimba
ingelengelé,liver
ingó,poverty
ingólèí,shell
osi-ingólèi,shell of snail
inimá,fish resembling
ínkì,ink
ínsìsi,hinge
ínzìni,engine
ínzìrí,“George” cloth
ipébu,bow
ipébugbasa,arrow
ipélè,draughts
ipélè,tein play draughts
ipélè-imbi,draughtsman
ipélipelì,oil-palm seedling
ipútù,rain-storm
irókò,iroko tree
iroroyé,thought
iseín²,row
iseín²,furrow
iséle,camwood
isélebara,piece of heartwood which is ground on owórò to produce camwood
isélekpoo,small lump of camwood
Isélema,Warri
isélepaan,amniotic sac
isené-ọrụ̀baụ,iyóro-fish
isenleí,space between fingers
isenleí,space between toes
iserí,testimony
iserí,witness
iseri sụọ́/tịẹ́,be a witness
iseri-aráụ,female witness
tọ́rụ-isi,male witness
isoú,cluster
okokodíạ̀ isou,a cluster of coconuts
isóun,"a small fish, finger-size freshwater clupeid"
isúru¹,spines on palm fruit
itígbiri,big Kano cloth
itísein,headpad
ititá,heel
ititá,part of hand corresponding to heel
itita tụá,walk on one’s heels
bára- ìtita,heel of hand
ititá,lower part of palm
bụ́ọ- ìtita,heel
itóbo,sandbank side of river
itóbo,"flood bank, used for farming"
itóbokan,Tantalus monkey
itóbokòri,stinging ant usually found in farmland
itú¹,flock
itú¹,heap
itú¹,group
itú¹,age-grade
itú¹,herd
itú¹,gang
itú¹,batch
ivín¹,cow
ivín²,palm kernel
ivínfụmụ,seed of palm kernel
ivínfụmụ,palm kernel
ivín-ịsọụn,broken shell of palmnut
ivíntọbọụ,calf
ivín-ụngbọ,endocarp containing single seed
iwé²,envy
iwé²,jealousy
iwé³,tattoo mark along the cheek
iweé,thatch overhang at end of house
Iwékụmọ,a name
iyé,thing
iyóro,snakehead
iyoú,low-lying part of bush completely under water in rainy season
izán,young palm fronds
izímina,"bird, the ostrich"
izú,uninhabited place
izú,a wide stretch of cultivated land with many farm plots
izúmu,"fish which gives an electric shock, especially from the tail end"
ịgá²,deformity
ịgálaba,the state of being riotous
ịgálaba,rowdy behaviour
ịgálaba,state of confusion
ịgálị,lumps on the body produced by Recklinghausen’s disease
ịgálị,protid tumour
ịgálịtụabọ,person suffering from Recklinghausen’s disease
ịgbá,creeper
ịgbá,rope
ịgbá kpụn,have a tug-of-war
beké-ìg̣ba,European rope
bou- ịgbá,bush rope
kọn-ịgbá,"ceremonial necklace, equivalent to a wedding ring, worn by a wife"
ịgbá,long rope-like bodily organ
asịn-ịgbá,blood-vessel
kála àsịn-ịgba,capillary
kála furòu-ịgba,small intestine
opu furóu-ìg̣ba,large intestine
ọdụ́dụ-duo-bo-ịgba,artery
ọdụ́dụ-ghọ- muyemi-ịgba,vein
ịgbáaị,chips
ịgbágba,soup or cooked food without palm oil
Ngbáịnwarị,a town in Opokumá ìbe in Northern Nzọn
ịgbálị,thorn ̣
ịgbálị,creeping plant with thorns
ịgbálị,"bring out thorns, etc., with needle"
ịgbálị,Beauv. COMBRETACEAE)
ịgbanụ́,group of people from particular place
ịgbáragbarà,thorny tree whose wood is used for canoe-seats and firewood
ịgbáragbarà,"its bark is boiled in water and used as medicine for wounds, esp. for female circumcision Baill."
ịgbárara,"area around house protected by overhang of roof, usu. wárị-ìg̣barara"
Ngbásolo,name of shrine in Báalịbou family at Igbedi
ịgbọ́bàraye,network
ịgbọ́tọ̀rụ,mesh of cast-net
ịgbụmụ́,canoe being carved before it is “burnt” to widen it
ịgbụmụ́,unfinished canoe
ịgịlá,cataract
ịgụá¹,"large seed-pod from ịgụá tree used as leg-rattle for dancing by “masquerades”, larger than ịgụasáịnsaịn from"
ịgụá²,representative of younger people at a dance for a deity
ịgụa-aráụ,female representative
ịgụa-owéi,male representative
ịgụa-arụ́,fairly large canoe loaded with people for ceremonial purposes
ịgụ́aịn,brass ring or anklet worn by little children
ịgụ́asị,small tree Planch
ịkábụkabụ̀,chewing gum obtained from tála fruit
ịkágị¹,trickster
ịkágị¹,nickname of tortoise
ịkákaị¹,star
ịkákaị¹,destiny
ịkákaị¹,luck
ịkákaị²,loose and over-ripe palm nuts that fall out
ịkánị,raphé
ịkánị,"the tiny natural line at the lower part of the penis, dividing the scrotum into two parts, finally entering the anus"
ịkárà,funnel-entrance fish-trap
Nkarámà,"town in Ọkọ́dịa ibe of Northern Nzọn ịkarịkárì ̣small fish with three spikes which can wound very painfully, found in lakes and fish-ponds"
ịkọọ́,poisoned arrow
ịkọtọ́,disease of the bones causing deformation of the legs
ịkọtọ́,rickets
ịkpáịnkpụrụ,small and clever or wise person
ịkpákpa,pair of small wooden clappers with handles beaten together by women during the following dances
ịkpọsọ́,rubbish
ịkpọsọ́,bits of stick
ịkpọtọ́,rotten stalk of the plantain
ịkpụ́kụ,a short and strong person
ịkpụ́rụ̀,buru ịkpụ́rụ̀ seed-yam
ịmbẹ́lẹmọ²,"shrub with white flowers, used as medicine for belly Pichon APOCYNACEAE)"
ịngbáya,a stick leading to a main stake for
ịngbẹ́lẹẹ̀,"small, smallish"
tíḅ ị sẹ̀ ịngbẹ́lẹẹ̀,smallish head
ịmọlọ́ụ,tongue
ịmụ́,new foliage of palm-wine raphia after the ribs have been removed
ịmụ́mụ̀rụ́n,water weed used for cooking soup with opúru
ịmụ́nụ,catfish
ịmụ́nụmụnụ̀,"middle folding leaves of oil- palm tree torn in shreds, and used as part of dressing for war- canoes, in shrines, or singly for tying"
ịndaá¹,shiny-nose
ịndaá¹,then
ịndaá¹,because
ịndaá¹,why since
ịndaá¹,if
ịngá,plaited rope for climbing oil-palms and coconut
ịngá osuo èbií,have good luck in palm-cutting
ịngá osuo sèí,have bad luck in palm-cutting
ịnụụ́¹,dark blue or blue-black cloth used for certain deities such as Benikúrukuru
ịnụụ́¹,navy blue shirting or calico
ịnụụ́²,insect
ịpọọ́,fish
ịsaán¹,"sponge made of ụkpá rope, used in filtering palmwine"
ịsaán²,pimple
ịsábà,small protrusion or outgrowth on yams
ịsọ́nịsọ̀nịbáụ,secret agent
ịsọ́nịsọ̀nịbáụ,spy
ịsọ́nịsọ̀nịbáụ,job needing thoroughness
ịsọ́sọ̀,"bird, any sunbird"
ịsọ́ụ,"young creature or fruit, usu. in combinations"
buru ịsọ́ụ,small yams
eré ịsọụ,young woman
obóri ịsọụ,young goat
ivín ịsọụn,palm-nut shell
ịsụ́n³,shrew
ịtághaị,rash on the human body
okírikà ịtaghaị,temporary rash at the base of the hair on the body as a result of cold
omóun ìṭaghaị,heat rash resulting from sweat
ịtánị,leaves of young palm tree
ịtátaịn,something which hangs about in flakes or patches
éri ịtataịn,soot
wárị ìṭataịn,dirt hanging from eaves
ịtọ́bọị,young palm tree which has not yet developed any sort of stem
ịtọ́bọị,pomu young palm-leaf ịtọ́ịn see ịtọ́nghị
ịvịá,"a sacred broom prepared with the leaves of a salt water herb, used by women diviners as one of their emblems"
ịwọ́rọ̀,"very ripe or over-ripe palm nuts which fall off from the main bunch before and during harvesting, formerly left on the ground for women to collect"
ịyaforó,my mother-in-law
ịyáforó,your mother-in- law
ịyányan,tree
ịyọ́ọ,place
ịyọ́rọ,female
ịyọ́ụn²,burn
ịyọ́ụn²,scald
ịyọ́ụn³,heart-beat
ịyọ́ụn³,last breath
ịyọ́ụn³,satisfaction of need or desire
ịyọ́ụn baa,satisfy one’s need or desire
ịyọ́ụn pẹlẹ,breathe one’s last
ịyọ́ụn³,give up the ghost
ịyọ́ụn-pẹlẹ-ukurizi,cannon fired to announce the death of a mature person
ịzagbá,cane
ịzagbá,whip
ịzagbá,ferule
ịzagbá,fine
ịzáị-ìngbe,"chancre, the first sore of yaws"
ịzụ́ụ,"plantain variety that takes the longest time to mature and produces the largest bunch so far known in Kólokùmá, the same shape as okpoisaán and ikpíri"
kábị,tigerfish
eré kabị,tigerfish
kábị ou,mask carved in the form of kábị fish
Kábịama,"Kabịama, a town on Sagbama Creek"
kabọlíkà,carbolic
kabọlíkà ẹsẹnmọ tárasụn,three bars of carbolic soap
kábọ̀nụ,carbon
kákaịndà¹,heavy tribal mark as found among Hausa and Yoruba people
kála-bụọ̀-ovuru,pace
kálakùmú,"a shrub, chewed with drinks to make them sweet"
Kálamà,"name of a village in Kólokùmá, seat of the deity Opudábà"
kála-ọ̀wọụamá-dọ̀n,measles
kamá¹,bee
káma,"fish, the climbing perch"
kaná,open basket with round base
karịzínì,kerosene
karịzínì,paraffin
kasá¹,oily residual fibres of the pericarp of palmfruit used as tinder
kasá²,small racket-like structure for drying fish on
