word,part_of_speech,meaning,example,meaning_original,original_meaning
dụ́nọụn san,n.,arm of lake,,fishing lake; dụ́nọụn imbi fish on a lake; dụ́nọụn san arm of lake; dụ́nọụn tịbị main part of lake,arm of lake
dụ́nọụn tịbị,n.,main part of lake,,fishing lake; dụ́nọụn imbi fish on a lake; dụ́nọụn san arm of lake; dụ́nọụn tịbị main part of lake,main part of lake
dụ́nụdọọ̀n,n.,convulsions,,convulsions dụnụí ̣see dụnịí ̣,convulsions
dụ́ụ̀,n.,principal rafter,,principal rafter,principal rafter
dụ́wẹị,n.,corpse,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,corpse
dụ́wẹị,n.,dead body,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,dead body
dụ́wẹị,n.,dead person,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,dead person
dụ́wẹịama,n.,dead bodies,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,dead bodies
dụ́wẹị,n.,town of the corpses,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,town of the corpses
dụ́wẹị,n.,corpses,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,corpses
dụ́wẹị,n.,ghosts from the land of the dead,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,ghosts from the land of the dead
dụ́wẹị,n.,fable-land,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,fable-land
dụ́wẹị bẹẹlị ,n.,consult the spirit of the dead,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,consult the spirit of the dead
dụ́wẹị bii,n.,consult the dead,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,consult the dead
dụ́wẹị bou,n.,burial- ground,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,burial- ground
dụ́wẹị,n.,cemetery,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,cemetery
dụ́wẹị dibi ,n.,bury corpse,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,bury corpse
dụ́wẹị ekpeti,n.,coffin,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,coffin
dụ́wẹị fọkọ bou,n.,swear by the ancestors,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,swear by the ancestors
dụ́wẹị fọụn ,n.,transfer dead body from one burial place to another,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,transfer dead body from one burial place to another
dụ́wẹị fụrụ,n.,smell like corpse,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,smell like corpse
dụ́wẹị gbeila ,n.,sing funeral dirges,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,sing funeral dirges
dụ́wẹị karị,n.,worship the dead,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,worship the dead
dụ́wẹị koru,n.,keep wake,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,keep wake
dụ́wẹị ogugu,n.,grave,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,grave
dụ́wẹị saa,n.,money or drink paid to the ancestors for committing certain crimes against them,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,money or drink paid to the ancestors for committing certain crimes against them
dụ́wẹị sou,n.,exhume,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,exhume
dụ́wẹị sụn,n.,lie in state,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,lie in state
dụ́wẹị sụụrụ ,n.,wash a corpse,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,wash a corpse
dụ́wẹị tẹmẹ ,n.,honour the dead with the shooting of guns and with dances,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,honour the dead with the shooting of guns and with dances
dụ́wẹị udubu,n.,tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,,corpse; dead body; dead person; dụ́wẹịama dead bodies; town of the corpses (ghosts) A. corpses; B. ghosts from the land of the dead; C. fable-land; dụ́wẹị bẹẹlị consult the spirit of the dead; dụ́wẹị bii consult the dead; dụ́wẹị bou burial- ground; cemetery; dụ́wẹị dibi bury corpse; dụ́wẹị ekpeti coffin; dụ́wẹị fọkọ bou swear by the ancestors; dụ́wẹị fọụn transfer dead body (by charms) from one burial place to another; dụ́wẹị fụrụ smell like corpse; dụ́wẹị gbeila sing funeral dirges; dụ́wẹị karị worship the dead; dụ́wẹị koru keep wake; dụ́wẹị ogugu grave; dụ́wẹị saa money or drink paid to the ancestors for committing certain crimes against them; dụ́wẹị sou exhume; dụ́wẹị sụn lie in state; dụ́wẹị sụụrụ wash a corpse; dụ́wẹị tẹmẹ honour the dead with the shooting of guns and with dances; dụ́wẹị udubu tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ,tomb dụ́wẹị-agụa see dụ́wẹị-ịyaụ
dụ́wẹịberisọọnlei,n.,buffalo grass,,buffalo grass (Paspalum conjugatum Berg. GRAMINEAE) (lit. ‘dead- men’s berisọọnlei’),buffalo grass
dụ́wẹịfịla,n.,cuckoo-spit,,cuckoo-spit (lit. ‘dead-men’s spittle’),cuckoo-spit
